page;question;answer
1;Quels sont les produits concernés par les soldes?;Les ve n t es ens oldes nepe uv e nt port er quesur des biens ac q u is par l'ag e nt écono miquedepu is tro is (0 3) m o is auminim um, àcompt er de la da t e de début de la péri o de des ve n t es en s o lde s
1;Dans quelles conditions s'exercent les ventes en soldes?;T out ag e nt écono miq ue con ce rnéd oit r e nd rep ublics,par voie d ' a ff ich age sur la dev ant la devanture de s on localcom me r cial et par tousautr es moy ens appr o prié s les da t es de début et de fin des vent es ensol de s les bi ens conce rnés, les pr i x pra t iq u és a u para va n t les réd u c ti onsde prix co nsent ies qui pe u ve n t êt refix es o u grad u elle s. Les bie n s dev antf ai rel ' objet des ve n t es en s o ldes s ont ex pos és à la vue de la cli ent èle s éparém ent des autr es bie n s. les ventes en soldes sont réalisées par les agents économiques dans les locaux où ils exercent leur activités.
1;Est ce que l'exercice des ventes en soldes est soumise à une demande d'autorisation? ou doit on la déposer?;L'agent économique désirant réaliser des ventes en soldes doit déposer,auprès du Directeur de Wilaya de Commerce territorialement compétent,une demande d'exercice accompagnée d'un dossier
1;Que doit contenir le dossier accompagnant la demande d'exercice de vente en soldes?;le dossier doit contenir une copie de l ' e xt r ai t du registre de commer ce o u, lecas éch éant, lacopie de l ' e xt r ai t du r e gi stre de l ' a rt isanat et des m ét i er s. • La li ste et l es quan tit és des b i ens de v a nt fairel ' obj et des v en t es en s ol des. • L ' ét atreprena nt l es réduct i o ns d e pr ixàa pp l i qu e r ai nsi que l es pr i x pr ati qués a upar avant.
1;Quelle est la durée de délivrance de la demande d'autorisation d'exercice des ventes en soldes?;Tout dépôt de dossier conforme, donne lieu à la délivrance séance tenante, d'une autorisation qui permet à l'agent économique d'entamer les ventes en soldes durant la période fixée.
1;Quels sont les périodes de réalisation des soldes? combien peut on les exercer?;Les p é riodes de réa l isation des so l des: Les ve n t es ens oldes s ont autoris ées d e ux (2) f o is par a nnée civil e. Chaq ue o pér ati on de venteensol de, d ' une d u rée con t i nue de s ix (6) s ema ines,d o it int ervenir dura nt les s ai sonsh iver n ale et est ivale. • Les ve n t es enso ldes s ont réali s ées dura nt les pér i o des compri s es entre les m o is de janvier et févr ier po u r la pér i ode hive r n ale et entre les m o is de jui l let et août p our la pér i ode est ivale. • Les da t es de dé roulement des ven t es en sol des s ont fix ées a u dé b ut de chaq ue ann ée,par arrê t é du W ali, surpropositi on d u Di r ec teur de Wil aya duC ommerce t erri t o rial ement compé t e nt a près co n s ul tati on des a ss o cia ti onsp ro fessi on n e lles conce r n ées et des associations de pr otecti on des conso mm ateurs. • L ' ag ent écono miq ue peutint er r omp r e les ve n t es en s o ldes av ant la f in de la d u ré e. Toutefois,il d o it eninfor mer les s ervices con ce r n és de la DCW co n c er née par un écrit dép oséau près de ces s ervice s.
1;Existe il un modèle de demande d'autorisation de vente en soldes?;D EMANDE D'AUTORISATION D ' EXERCICE DES VENTES EN SOLDES (MODELE-TYPE) Je soussigné (e) Melle,Mme,Mr ……………………………(nom et prénom) ou la personne morale dénommée....................................................) titulaire du registre du commerce n°………….……………….et exerçant l'activité de…………………......................au niveau du local commercial situé à l'adresse: ………………………………………………………………………………….......…......... sollicité Mme,Mlle et Mr..............................................la (la) Directeur(rice) du Commerce de la Wilaya de......................................................................................la délivrance de l'autorisation d'exercice des ventes en soldes sollicité par la présente demande, accompagnée des pièces requises par le décret exécutif n°06-215du18juin 2006fixantles modalités de réalisation des ventes en soldes,des ventes promotionnelles,des ventes en liquidation des stocks. - Produits concernés par les ventes en soldes: - Période d'exercice: Je m'engage au strict respect des règles régissant l'activité dont l'autorisation est sollicitée et ce,conformément aux dispositions du décret exécutif précité et de la loin°04-02 du juin 2004 fixant les règles applicables aux pratiques commerciales. Nom,prénom,cachet et signature de l'agent économique: F ait à............le………….......…
1;Existe t'il un Modele-type du document devant accompagner la demande d'autorisation d'exercice des ventes en soldes?;MO D EL E - TYPEDUD OCUM ENTDEVANT ACC OMPAG NER LA D E MAN DED ' AUTOR I S AT I ON D ' EXERC I CE D ES VEN TES EN SOL DESPRO DUI TS ACO MME R CIA L IS ER DURAN T LES SOLD ES P RI XDUPRO DUI T AVAN T LES S O LD ES P RI XDUPRO DUI T DURAN T LES SOLD ES T AU X D ES R E DUC TIONSPARPRO DUI T AU T R ES T AU X D ES R E DUC TIONSPARGAM MES DEPRO DUI TS (MI NI MUMET MA XI MUM) N. B./Ce docu m ent n'est qu'un m od èle -t ype et l es in format ions qui y s ont m en t ionnées ne s ont pas e x haus t ives et peuvent être co mplétées par d'au tres données co m plé m en tairesutiles. E n ou tre, il estàpr endre en con s idé rat ion nonob s t ant l 'imprimé dé jàutilisé par l e commerçan t.
1;Quel est le modèle d'autorisation d'exercice des ventes en soldes délivré par les services du Commerce?;REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE Ministère du Commerce Dir ection du Commerce de la Wilaya de.................... AUTORISATION N°……………..DU……………. D ' EXERCICE DES VENTES EN SOLDES (MODELE-TYPE) Le Directeur du Commerce de la Wilaya de...................................................................................................................................autorise M e ll e, Mme, M r................................................ (n om et prénom) ou la personne morale (dénommée.............................. … …………………................................................) titulaire du registre du commerce n°...............................................et exerçant l'activité de commercial situé à l'adresse: ……………………………………………………………………………..……………...... à réaliser les ventes en soldes dont l'exercice a été sollicité par la demande datée du…………………….......……………..et accompagnée des pièces requises par le décret exécutif n°06-215 du 18 juin 2006 fixant les modalités de réalisation des ventes en soldes,des ventes promotionnelles, des ventes en liquidation des stocks. - Produits concernés: - Période d'exercice: L ' agent économique bénéficiaire de la présente autorisation est tenu au strict respect des règles régissants on activité et ce,conformément aux dispositions du décret exécutif précité et de la loi n°04-02 du juin 2004 fixant les règles applicables aux pratiques commerciales. F ait à.............le………….......…..........
1;Quel texte régissant les ventes en soldes?;Texte régissant les ventes en soldes D é cr etex éc utifn° 0 6 - 215 du 22 j o um ada elou la 1427 C orr es p on d ant au 18 juin 2 0 0 6 f i xa nt les con diti ons etlesm oda lités de réalisati on desventesens old e s,desventesp ro mo t i onn e ll e s, desventesenliqui da t i on de s to cks, desVentesen ma gasi ns d' usinesetdesve nt e s au déb alla g e.
